inicializacao, multiplicacao, finalizacao, total, threads
0.019171, 29.610459, 0.004504, 29.634134, seq
0.008602, 28.967252, 0.004481, 28.980335, seq
0.007831, 29.750721, 0.005468, 29.764020, seq
0.007524, 28.985092, 0.003483, 28.996099, seq
0.005621, 29.120774, 0.002991, 29.129387, seq
