inicializacao, multiplicacao, finalizacao, total, threads
0.002311, 0.449358, 0.000260, 0.451929, seq
0.000660, 0.457047, 0.000302, 0.458009, seq
0.000497, 0.453700, 0.000241, 0.454438, seq
0.000521, 0.453118, 0.000255, 0.453895, seq
0.000673, 0.458231, 0.000255, 0.459159, seq
